noun,rot,rotlich
Farbe,46009,4649
Licht,25983,2204
Haar,11585,2361
Linie,9530,52
Punkt,8350,138
Stern,8038,101
Streifen,7523,469
Flecken,7162,627
Grund,7078,218
Sandstein,7011,558
Färbung,6903,3597
Fleck,6731,360
Farbstoff,6513,50
Strahl,5862,124
Auge,5761,148
Erde,5134,222
Ton,5072,2619
Gesicht,4569,347
Blüte,3977,195
Wange,3221,41
Sonne,2598,57
Stein,2565,197
Hof,2272,72
Schein,2253,1389
Papier,2073,65
Bart,1823,391
Marmor,1820,152
Flamme,1775,195
Pigment,1686,46
Ocker,1621,59
Sand,1515,250
Fleisch,1510,44
Zone,1494,52
Flüssigkeit,1287,722
Granit,1246,102
Körnchen,1231,40
Glut,1218,48
Saum,1200,62
Masse,1180,340
Farbton,1172,492
Boden,1155,56
Hintergrund,1098,48
Mauer,1087,94
Lehm,1007,99
Wolke,994,227
Schicht,948,44
Stelle,918,169
Felsen,915,95
Mergel,866,59
Staub,859,169
Himmel,791,156
Schimmer,711,1938
Kalk,679,49
Pulver,679,54
Niederschlag,617,43
Verfärbung,553,523
Haut,544,168
Farbenton,481,362
Knötchen,480,78
Gestein,434,221
Nebel,434,49
Narbe,404,49
Substanz,392,64
Ader,386,52
Glanz,386,195
Schatten,372,200
Gesichtsfarbe,369,101
Holz,309,148
Widerschein,263,60
Vollbart,238,80
Hautfarbe,193,150
Tönung,164,301
Aussehen,156,165
Abendhimmel,150,44
Schnurrbart,134,90
Nuance,121,104
Dunst,113,79
Feldspat,90,84
Fels,83,54
Geschwulst,52,54
Abendlicht,45,42
Schaum,42,57
