noun,feucht,nass
Luft,35280,246
Boden,16455,7024
Klima,11313,159
Erde,9852,1553
Raum,7419,174
Stelle,6443,2094
Wetter,6355,4889
Witterung,6260,4965
Sand,6194,2191
Auge,5501,2857
Tuch,4413,4448
Wiese,4158,2679
Standort,4001,1022
Zustand,3749,1666
Ort,3520,274
Hand,3280,1516
Jahr,3090,4476
Thermometer,3045,329
Niederung,2567,147
Wand,2337,435
Gegend,2218,98
Wald,2091,102
Umschlag,2088,530
Kälte,2028,709
Keller,1982,166
Haut,1981,482
Element,1892,2096
Grund,1857,491
Wind,1707,126
Nebel,1652,303
Moos,1609,273
Periode,1607,362
Papier,1592,705
Fliesspapier,1565,296
Umgebung,1539,70
Sommer,1497,2191
Gras,1458,1709
Schwamm,1441,1407
Jahreszeit,1400,2222
Holz,1375,1315
Erdreich,1341,106
Lappe,1341,1251
Oberfläche,1212,341
Lehm,1203,607
Niederschlag,1079,57
Masse,1040,51
Mauer,1024,86
Filtrierpapier,1019,188
Körper,1011,265
Schicht,970,150
Haar,965,2120
Untergrund,906,208
Land,891,62
Lage,889,160
Fläche,887,540
Ton,881,235
Watte,865,376
Finger,834,928
Winter,776,485
Dampf,772,433
Zunge,757,54
Erdboden,750,78
Nacht,748,158
Tag,731,447
Einpackungen,728,210
Weg,700,8718
Lippe,684,113
Sägespan,657,109
Bedingung,636,80
Schlamm,626,256
Blick,619,231
Zeit,616,695
Fleck,613,522
Material,586,56
Stein,579,454
Blatt,577,473
Platz,559,55
Faden,554,507
Waldboden,510,53
Stroh,494,438
Laub,471,458
Wäsche,457,958
Stirn,430,179
Platte,419,1150
Sägemehl,415,49
Einpackung,399,99
Kleid,396,3344
Thon,392,148
Stoff,380,160
Handtuch,374,864
Gelände,372,44
Schnee,371,1389
Flecken,363,262
Monat,331,254
Felsen,326,247
Reinigung,316,221
Rasen,308,110
Schnur,302,151
Schleier,297,51
Lehmboden,295,51
Nase,295,44
Weide,285,219
Filtrirpapier,284,57
Torf,284,204
Pinsel,278,319
Grab,275,704
Wolke,265,71
Leinwand,264,287
Farbe,259,399
Compressen,253,165
Probe,252,75
Frühjahr,244,259
Baum,242,88
Leder,241,173
Brot,239,102
Behandlung,236,93
Kohle,233,118
Filterpapier,228,58
Seite,223,94
Streifen,217,117
Kleidung,211,799
Schwamme,209,182
Herbst,208,445
Straße,205,1155
Wange,202,174
Graben,196,1759
Decke,196,372
Elementes,195,105
Spur,194,147
Heu,188,118
Dreck,173,51
Löschpapier,173,110
Compresse,172,167
Aufwischen,165,80
Wattebausch,154,67
Putz,150,77
Deposition,147,1090
Beton,147,81
Wolle,143,169
Pappe,142,113
Lake,141,405
Gesicht,136,417
Theile,132,50
Mörtel,129,75
Mund,128,52
Pulver,127,110
Waschlappen,123,174
Feld,119,337
Futter,112,160
Schwammes,111,82
Einwicklungen,111,102
Filter,104,140
Bett,104,85
Abreibung,102,290
Brei,101,44
Taschentuch,100,111
Grube,99,50
Baumwolle,98,91
Jahrgang,96,321
Garten,91,44
Stück,91,152
Untergrunde,90,45
Läppchen,89,44
Pflaster,88,223
Bodenarten,86,43
Verfahren,79,1313
Sache,79,780
Asphalt,78,631
Iahreszeit,74,448
Strähne,72,86
Bogen,72,60
Ware,70,52
Iahren,67,257
Scheibe,63,42
Frühling,62,51
Mantel,58,380
Fußboden,57,71
Binde,55,115
Acker,54,66
Sack,54,875
Lager,53,57
Einwickelungen,48,215
Flügel,48,50
Klamotte,46,264
Moor,46,57
Kalk,43,313
Fuß,43,3151
Rücken,42,75
