существительное	влажный	сырой	прил1 // прил2
климат	36884	1494	24
воздух	35285	5208	6
почва	24578	5347	4
год	19443	1048	18
земля	15678	55379	0
состояние	14196	45	315
камера	14094	1093	12
место	11705	11086	1
песок	11142	4480	2
атмосфера	8916	212	42
глаз	8250	112	73
погода	7762	13541	0
ветер	7145	6188	1
условие	7014	237	29
луг	6174	7640	0
лес	5066	2043	2
слой	4520	191	23
материал	4174	51555	0
трава	3852	4497	0
местообитание	3602	582	6
зерно	3581	2500	1
тряпка	3484	684	5
соль	3448	787	4
грунт	3415	1241	2
рука	3308	118	28
волос	2763	96	28
лето	2651	919	2
глина	2609	8909	0
участок	2511	1446	1
поверхность	2459	393	6
мох	2335	1197	1
ткань	2292	3703	0
снег	2238	1704	1
масса	2138	20431	0
прохлада	1976	1301	1
запах	1963	1495	1
дыхание	1936	255	7
туман	1690	3227	0
газ	1688	1357	1
лист	1647	1912	0
полотенце	1629	135	12
вес	1625	33887	0
тип	1583	204	7
тело	1558	119	13
берег	1426	1178	1
весна	1401	395	3
склон	1374	211	6
опилки	1364	435	3
камень	1326	934	1
кожа	1296	3580	0
пятно	1235	590	2
образец	1186	597	1
день	1155	1026	1
уголь	1154	2091	0
препарат	1103	259	4
древесина	1068	1319	0
эфир	1034	241	4
часть	1022	71	14
бумага	995	485	2
духота	987	109	9
ветерок	967	439	2
скала	956	526	1
холод	952	1683	0
палец	937	51	18
время	931	912	1
лицо	920	163	5
свежесть	873	472	1
осень	872	465	1
смесь	835	1158	0
листва	828	526	1
пыль	828	72	11
асфальт	791	214	3
семя	755	193	3
торф	736	751	0
месяц	719	97	7
порода	713	93	7
мгла	694	2176	0
помещение	671	2259	0
зелень	662	185	3
тряпочка	658	49	13
язык	647	73	8
небо	641	439	1
след	638	86	7
ночь	606	2031	0
холодок	595	496	1
пелена	594	100	5
вата	548	122	4
хлеб	547	986	0
суглинок	546	80	6
сумрак	525	141	3
тьма	520	1155	0
стена	519	3238	0
темнота	516	944	0
пленка	512	106	4
топливо	500	391	1
сено	489	283	1
солома	475	836	0
дым	467	211	2
теплота	445	43	10
долина	441	293	1
одежда	440	818	0
подстилка	437	57	7
тень	436	313	1
простыня	421	239	1
ущелие	417	288	1
дерево	407	2295	0
местность	400	476	0
низина	388	1223	0
проба	385	76	5
испарение	375	47	7
глубина	370	223	1
белье	366	244	1
ил	356	1016	0
пространство	347	117	2
дно	338	152	2
осадки	325	74	4
вещество	323	12109	0
тундра	320	231	1
хлопья	316	126	2
поле	298	374	0
голос	297	200	1
продукт	296	18174	0
мрак	293	429	0
хлопок	292	511	0
дорога	289	246	1
бор	289	188	1
кора	284	391	0
понижение	283	235	1
шерсть	277	599	0
степь	273	116	2
ствол	266	153	1
звук	263	95	2
облако	253	175	1
цветок	250	50	5
чернозем	242	137	1
аромат	235	62	3
ком	233	235	0
сумерки	228	351	0
шихта	222	187	1
вечер	203	424	0
кристалл	202	92	2
сырье	199	129	1
стенка	199	92	2
солончак	197	60	3
страна	184	50	3
бетон	183	259	0
стебель	182	139	1
борозда	179	81	2
покров	176	50	3
лужайка	172	164	1
тишина	166	284	0
зима	165	321	0
куст	159	76	2
чернота	156	41	3
дорожка	155	151	1
кусок	151	235	0
поток	151	46	3
равнина	149	42	3
хвоя	149	292	0
концентрат	145	298	0
комок	145	158	0
утро	144	657	0
дух	143	106	1
материя	136	196	0
пол	129	491	0
гранула	127	198	0
руда	127	2629	0
природа	126	53	2
сад	125	173	0
пласт	123	139	0
бензол	122	4399	0
клетка	121	200	0
биомасса	119	2367	0
злак	115	59	1
угол	114	966	0
кто=SPRO,ед,муж,од=пр	112	41	2
ветвь	112	102	1
смола	110	353	0
кукуруза	108	148	0
грязь	107	440	0
табак	106	256	0
корень	106	1099	0
мицелий	104	115	0
отпечаток	96	58	1
тропинка	94	193	0
растение	90	191	0
луговина	88	278	0
пастбище	84	111	0
аргон	82	188	0
крахмал	81	1314	0
оттиск	79	66	1
ветка	75	371	0
скамья	74	218	0
штукатурка	73	2201	0
поляна	73	113	0
тропа	72	51	1
прель	67	64	1
ложбина	65	212	0
гул	64	57	1
полумрак	63	231	0
заросль	62	81	0
отходы	60	75	0
клок	57	109	0
ельник	55	136	0
грудь	54	174	0
сок	53	828	0
пища	52	779	0
брезент	51	48	1
палуба	51	78	0
струя	50	66	0
плащ	50	71	0
голова	49	44	1
улица	49	234	0
постель	49	276	0
известь	49	257	0
жир	47	4728	0
снежок	47	65	0
сквозняк	47	116	0
початок	46	190	0
пень	45	42	1
дерн	45	41	1
скамейка	45	173	0
сукно	43	64	0
красота	43	47	0
туча	42	54	0
тяжесть	42	67	0
газета	42	53	0
перила	41	60	0
груда	41	61	0
краска	41	113	0
конец	41	49	0
шинель	41	340	0
навоз	40	274	0
листок	40	65	0
