существительное	золотой	золотистый	прил1 // прил2
буква	33826	349	96
рука	32355	69	468
рыбка	27176	153	177
кольцо	23321	43	542
россыпь	13080	110	118
звезда	12746	271	47
песок	12325	2057	5
дождь	11055	235	47
нить	10950	732	14
гора	10742	89	120
оправа	10707	206	51
купол	9903	132	75
луч	9720	2907	3
волос	9137	10571	0
пуговица	8664	111	78
корона	8620	55	156
галун	8512	89	95
погон	7993	190	42
яблоко	7832	72	108
перо	6949	306	22
лист	6936	645	10
слиток	6588	47	140
рог	5462	53	103
фон	4732	1163	4
шар	4642	416	11
кайма	4397	244	18
кисть	4344	191	22
фольга	4322	65	66
колечко	4228	41	103
узор	4156	305	13
цветок	4078	956	4
ободок	4071	319	12
день	3876	206	18
искра	3814	913	4
нитка	3641	215	16
зерно	3487	966	3
полоса	3484	947	3
звездочка	3476	328	10
парча	3420	75	45
кудри	3330	1554	2
бахрома	3264	317	10
полоска	3248	695	4
огонь	2997	340	8
блеск	2977	1996	1
надпись	2962	50	59
колос	2962	484	6
поток	2898	304	9
глаз	2777	1855	1
сережка	2757	114	24
нашивка	2752	48	57
карась	2706	687	3
блестка	2667	689	3
краска	2645	669	3
сияние	2550	1360	1
плод	2536	878	2
голова	2503	562	4
лента	2414	285	8
свет	2357	2255	1
точка	2357	358	6
птица	2272	42	54
одежда	2218	115	19
пыль	2206	1410	1
головка	2182	930	2
коса	2172	1419	1
крыло	2117	196	10
пятно	2043	967	2
орнамент	1941	71	27
шапка	1875	127	14
небо	1841	331	5
конь	1747	484	3
волна	1727	604	2
искорка	1683	681	2
столб	1663	52	31
облако	1552	960	1
диск	1525	77	19
поле	1460	237	6
пчела	1448	234	6
ус	1428	375	3
нимб	1427	186	7
заря	1419	178	7
линия	1352	82	16
шарик	1332	48	27
листва	1309	475	2
сноп	1212	283	4
отлив	1209	2656	0
круг	1208	151	8
игла	1175	67	17
грива	1166	245	4
край	1159	265	4
блик	1158	727	1
огонек	1155	332	3
развод	1154	52	22
рыба	1117	139	8
нива	1106	316	3
пыльца	1074	584	1
листочек	1034	40	25
струя	1033	312	3
пшеница	1027	374	2
закат	1001	156	6
вино	971	698	1
тесьма	927	82	11
ковер	920	321	2
ткань	915	130	7
луна	906	125	7
локон	892	1059	0
серп	890	53	16
осень	880	77	11
пленка	867	118	7
дорожка	850	143	5
солнце	848	142	5
туман	833	829	1
отблеск	805	865	0
ресница	787	786	1
трава	774	86	9
змея	763	74	10
цвет	760	993	0
пляж	753	247	3
кружево	733	56	13
змейка	718	93	7
песчинка	699	105	6
каемка	693	53	13
сетка	653	44	14
чешуя	638	198	3
луковица	605	46	13
петух	600	113	5
пылинка	581	64	9
стена	576	123	4
лес	564	54	10
брызги	563	51	11
волосок	550	1817	0
рисунок	540	64	8
береза	539	45	11
капля	536	107	5
камень	534	207	2
хлеб	528	272	1
крапинка	521	248	2
хвост	515	155	3
борода	514	588	0
обивка	495	41	12
вода	489	217	2
язык	488	43	11
фазан	485	144	3
завиток	480	304	1
берег	477	60	7
тон	464	2531	0
свечение	462	223	2
крылышко	452	43	10
образ	429	69	6
лицо	428	69	6
солома	420	377	1
виноград	403	139	2
лепесток	400	168	2
ореол	398	222	1
наряд	398	73	5
апельсин	387	98	3
мед	371	511	0
прожилка	363	181	2
веснушка	349	266	1
пушок	337	1387	0
кожа	332	843	0
женщина	331	46	7
жук	330	40	8
утро	328	125	2
прядь	328	273	1
плащ	326	46	7
муха	324	51	6
слой	321	42	7
море	317	41	7
шерсть	314	491	0
чешуйка	313	367	0
крона	311	46	6
одуванчик	306	58	5
кудряшка	304	218	1
отсвет	290	370	0
оттенок	288	4254	0
пух	278	248	1
початок	276	42	6
грудь	271	51	5
загар	269	834	0
окраска	266	1028	0
жилка	265	53	5
ствол	259	273	0
вечер	254	99	2
лак	253	190	1
струйка	251	53	4
воздух	249	387	0
туфельки	248	53	4
дым	243	152	1
бородка	237	432	0
окантовка	235	44	5
тело	233	285	0
цветочек	219	49	4
глазок	211	97	2
сосна	207	257	0
гроздь	204	141	1
рожь	202	420	0
перелив	202	159	1
металл	201	116	1
поверхность	201	73	2
груда	198	63	3
лучик	194	60	3
песочек	194	45	4
щетина	191	186	1
облачко	185	235	0
стружка	178	117	1
напиток	175	389	0
шелк	168	549	0
свеча	166	52	3
жатва	165	70	2
дымок	162	450	0
бровь	159	525	0
лук	159	81	1
дымка	150	322	0
волосик	146	192	0
кора	144	67	2
косичка	137	49	2
луг	134	51	2
усик	133	267	0
пена	131	57	2
зарево	130	158	0
лютик	130	111	1
мерцание	128	69	1
мгла	119	111	1
стебель	118	47	2
масло	115	60	1
занавес	115	73	1
бок	113	74	1
платье	112	139	0
точечка	111	44	2
бархат	110	138	0
пушка	110	113	0
зрачок	105	194	0
сок	101	124	0
веер	95	45	2
марево	93	202	0
рябь	89	127	0
челка	87	62	1
пятнышко	87	61	1
покрывало	84	48	1
корочка	78	568	0
чуб	73	139	0
груша	69	70	0
скирда	65	48	1
парик	64	73	0
сумрак	63	217	0
стерня	61	131	0
шевелюра	61	151	0
дыня	60	91	0
жир	58	46	1
овал	55	42	1
влага	55	174	0
охра	53	798	0
гамма	52	173	0
тень	49	45	1
копна	48	128	0
вкрапление	48	43	1
серебро	47	594	0
обои	42	158	0
сумерки	42	57	0
столп	41	44	0
